,QuarLang,AlterV10Sort,SexLang,Ziv2Lang,AnzBestWir
315,Altstetten,6,Female,In registered partnership,4
316,Altstetten,6,Female,Single,395
317,Altstetten,6,Female,Married,959
318,Altstetten,6,Female,Widowed,59
319,Altstetten,7,Male,Dissolved partnership,2
320,Altstetten,7,Male,Divorced,244
321,Altstetten,7,Male,In registered partnership,10
322,Altstetten,7,Male,Single,298
323,Altstetten,7,Male,Married,796
324,Altstetten,7,Male,Widowed,22
325,Altstetten,7,Female,Dissolved partnership,2
326,Altstetten,7,Female,Divorced,442
327,Altstetten,7,Female,In registered partnership,1
328,Altstetten,7,Female,Single,257
329,Altstetten,7,Female,Married,677
330,Altstetten,7,Female,Widowed,137
331,Altstetten,8,Male,Dissolved partnership,2
332,Altstetten,8,Male,Divorced,161
333,Altstetten,8,Male,In registered partnership,1
334,Altstetten,8,Male,Single,131
335,Altstetten,8,Male,Married,545
336,Altstetten,8,Male,Widowed,53
337,Altstetten,8,Female,Divorced,259
338,Altstetten,8,Female,In registered partnership,2
339,Altstetten,8,Female,Single,141
340,Altstetten,8,Female,Married,483
341,Altstetten,8,Female,Widowed,272
342,Altstetten,9,Male,Dissolved partnership,2
343,Altstetten,9,Male,Divorced,59
344,Altstetten,9,Male,In registered partnership,2
345,Altstetten,9,Male,Single,41
346,Altstetten,9,Male,Married,303
347,Altstetten,9,Male,Widowed,108
348,Altstetten,9,Female,Divorced,123
349,Altstetten,9,Female,Single,93
350,Altstetten,9,Female,Married,198
351,Altstetten,9,Female,Widowed,371
352,Altstetten,10,Male,Divorced,1
353,Altstetten,10,Male,Single,5
354,Altstetten,10,Male,Married,36
355,Altstetten,10,Male,Widowed,47
356,Altstetten,10,Female,Divorced,30
357,Altstetten,10,Female,Single,15
358,Altstetten,10,Female,Married,15
359,Altstetten,10,Female,Widowed,166
360,Altstetten,11,Female,Divorced,1
361,Altstetten,11,Female,Widowed,4
362,City,1,Male,Single,28
363,City,1,Female,Single,29
364,City,2,Male,Single,38
365,City,2,Female,Single,26
366,City,3,Male,Single,77
367,City,3,Male,Married,2
368,City,3,Female,Single,72
369,City,3,Female,Married,3
370,City,4,Male,Divorced,1
371,City,4,Male,Single,57
372,City,4,Male,Married,14
373,City,4,Female,Divorced,4
374,City,4,Female,Single,43
375,City,4,Female,Married,16
376,City,5,Male,Divorced,7
377,City,5,Male,Single,27
378,City,5,Male,Married,25
379,City,5,Male,Widowed,1
380,City,5,Female,Divorced,4
381,City,5,Female,Single,27
382,City,5,Female,Married,28
383,City,5,Female,Widowed,1
384,City,6,Male,Dissolved partnership,2
385,City,6,Male,Divorced,10
386,City,6,Male,In registered partnership,3
387,City,6,Male,Single,18
388,City,6,Male,Married,22
389,City,6,Female,Divorced,13
390,City,6,Female,Single,10
391,City,6,Female,Married,25
392,City,6,Female,Widowed,1
393,City,7,Male,Divorced,11
394,City,7,Male,In registered partnership,1
395,City,7,Male,Single,22
396,City,7,Male,Married,30
397,City,7,Female,Divorced,4
398,City,7,Female,Single,12
399,City,7,Female,Married,19
400,City,7,Female,Widowed,1
401,City,8,Male,Dissolved partnership,1
402,City,8,Male,Divorced,9
403,City,8,Male,Single,8
404,City,8,Male,Married,12
405,City,8,Male,Widowed,1
406,City,8,Female,Divorced,3
407,City,8,Female,Single,9
408,City,8,Female,Married,11
