,name,address
356,Migros,Staatsstrasse 56 9463 Oberriet Sg
357,Migros,Solothurnstrasse 17a 3422 Kirchberg Be
358,Migros,Fabrikstrasse 6 4513 Langendorf
359,Migros,Hauptstrasse 51 3855 Brienz Be
360,Migros,Wiesentalstrasse 4 9425 Thal
361,Migros,Rhyguetstrasse 2 9424 Rheineck
362,Migros,Landstrasse 251 9495 Triesen
363,Migros,Bahnhofstrasse 2 9443 Widnau
364,Migros,Nollenhornstrasse 9 9434 Au Sg
365,Migros,Poststrasse 4 7130 Ilanz
366,Migros,Neudorfstrasse 60 9430 St. Margrethen Sg
367,Migros,Hintere Kirchstrasse 1 9444 Diepoldsau
368,Migros,Freiestrasse 10 2540 Grenchen
369,Migros,Industriestrasse 10 3321 Schönbühl Ekz
370,Migros,Rue de l'Ecluse 1 2740 Moutier
371,Migros,Thunstrasse 17 3510 Konolfingen
372,Migros,Richigenstrasse 1 3076 Worb
373,Migros,Rue de la Maltière 12 2800 Delémont
374,Migros,Bahnhofstrasse 54 7302 Landquart
375,Migros,Bernstrasse 14 3053 Münchenbuchsee
376,Migros,Talweg 6 3063 Ittigen
377,Migros,Bernstrasse 114 3072 Ostermundigen
378,Migros,Bernstrasse 103 3052 Zollikofen
379,Migros,Turbenweg 1 3073 Gümligen
380,Migros,Poststrasse 1 3072 Ostermundigen 1
381,Migros,Bahnhofplatz 5 3110 Münsingen
382,Migros,Wankdorffeldstrasse 71 3014 Bern
383,Migros,Rugenparkstrasse 1 3800 Interlaken
384,Migros,Aegertiweg 33 3812 Wilderswil
385,Migros,Via La Val 1 7013 Domat/Ems
386,Migros,Giacomettistrasse 15 3006 Bern
387,Migros,Egghölzlistrasse 1 / 1a 3006 Bern
388,Migros,Breitenrainstrasse 11 3013 Bern
389,Migros,Kalchackerstrasse 9 3047 Bremgarten b. Bern
390,Migros,Thunstrasse 110 3006 Bern
391,Migros,Dammweg 9 3013 Bern
392,Migros,Thunstrasse 18 3005 Bern
393,Migros,Masanserstrasse 240 7000 Chur
394,Migros,Marktgasse 46 3011 Bern
395,Migros,Oberdorfstrasse 33 3612 Steffisburg
396,Migros,Steinbachstrasse 28 3123 Belp
397,Migros,Ringstrasse 91 7000 Chur
398,Migros,Bahnhofplatz 10 3011 Bern
399,Migros,Unterdorfstrasse 10 3612 Steffisburg
400,Migros,Christoffelunterführung 3011 Bern
401,Migros,Zähringerstrasse 43 3012 Bern
402,Migros,Pargherastrasse 1 - 3 7000 Chur
403,Migros,Bubenbergplatz 8 3011 Bern
404,Migros,Seftigenstrasse 368 3084 Wabern
405,Migros,Schanzenstrasse 5 3000 Bern
406,Migros,Gäuggelistrasse 28 7000 Chur
407,Migros,Bernstrasse 223 3627 Heimberg
408,Migros,Seftigenstrasse 1 3007 Bern
409,Migros,Bälliz 2 3600 Thun
410,Migros,Staatsstrasse 134 3626 Hünibach
411,Migros,Sportallee 20 2503 Biel
412,Migros,Staatsstrasse 16b 3652 Hilterfingen
413,Migros,Frutigenstrasse 60 3604 Thun
414,Migros,Bethlehemstrasse 40 3027 Bern
415,Migros,Bläuacker 10 3098 Köniz
416,Migros,Steinweg 28 3250 Lyss
417,Migros,Kappelenring 2 3032 Hinterkappelen
418,Migros,Schlösslistrasse 7 2504 Biel/Bienne
419,Migros,Dorfstrasse 21 3661 Uetendorf
420,Migros,Talackerstrasse 62 3604 Thun
421,Migros,Riedbachstrasse 10 3027 Bern
422,Migros,Bottigenstrasse 7 3018 Bern
423,Migros,Erlenstrasse 40 2555 Brügg b. Biel
424,Migros,Gilberte-de-Courgenay-Platz 4 3027 Bern
425,Migros,Brüggstrasse 5 2503 Biel/Bienne
426,Migros,Kanalgasse 36 - 38 2502 Biel/Bienne
427,Migros,Bahnhofstrasse 3700 Spiez
428,Migros,Bahnhofstrasse 15 2502 Biel/Bienne
429,Migros,Lyssstrasse 15 2560 Nidau
430,Migros,Rue de Pierre-Pertuis 11 2710 Tavannes
431,Migros,Dorfstrasse 1 2563 Ipsach
432,Migros,Hauptstrasse 146 7075 Churwalden
433,Migros,Via Pian della Croce 6760 Faido
434,Migros,Im Park 7430 Thusis
435,Migros,Bernstrasse 36 3175 Flamatt
436,Migros,Rue Albert-Gobat 1 2720 Tramelan
437,Migros,Faubourg St Germain 2 2900 Porrentruy
438,Migros,Freiburgstrasse 5b 3150 Schwarzenburg
439,Migros,Murtenstrasse 15 3210 Kerzers
440,Migros,Kanderstegstrasse 31 3714 Frutigen
441,Migros,Furkastrasse 46 3984 Fiesch
442,Migros,Chemin des Vergers 20 2520 La Neuveville
443,Migros,Rue de la Gruère 23 2350 Saignelégier
444,Migros,Route de Neuchâtel 40 2525 Le Landeron
445,Migros,Käsereistrasse 3 3186 Düdingen
446,Migros,Bernstrasse 18 3280 Murten
447,Migros,Obere Matte 9 1716 Plaffeien
