,street_number,post_municipality,telephone,type_store,Angebot,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,Sonntag,gmaps_link
27, Etzelstrasse 6,8038 Zürich,058 999 04 16,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Etzelstrasse%206,%208038,Z%C3%BCrich,%20Switzerland"
28, Hohlstrasse 610,8048 Zürich,058 999 04 45,Denner Filiale,"Bargeldbezug mit Post- / M-Card, Humidor",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,08:00 - 18:00,Closed,"https://maps.google.com/maps?saddr&daddr=Hohlstrasse%20610,%208048,Z%C3%BCrich,%20Switzerland"
29, Limmattalstrasse 177,8049 Zürich,058 999 65 00,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card",07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:30 - 17:00,Closed,"https://maps.google.com/maps?saddr&daddr=Limmattalstrasse%20177,%208049,Z%C3%BCrich,%20Switzerland"
30, Regensdorferstrasse 16,8049 Zürich,058 999 13 22,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,Closed,"https://maps.google.com/maps?saddr&daddr=Regensdorferstrasse%2016,%208049,Z%C3%BCrich,%20Switzerland"
31, Regensbergstrasse 309,8050 Zürich,058 999 05 33,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card, Post Servicepoint",07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Regensbergstrasse%20309,%208050,Z%C3%BCrich,%20Switzerland"
32, Schwamendingenstrasse 24,8050 Zürich,058 999 13 74,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Schwamendingenstrasse%2024,%208050,Z%C3%BCrich,%20Switzerland"
33, Forchstrasse 261,8032 Zürich,058 999 65 10,Denner Express,Bargeldbezug mit Post- / M-Card,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Forchstrasse%20261,%208032,Z%C3%BCrich,%20Switzerland"
34, Hofwiesenstrasse 350,8050 Zürich,058 999 03 13,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Hofwiesenstrasse%20350,%208050,Z%C3%BCrich,%20Switzerland"
35, Binzmühlestrasse 80,8050 Zürich,058 999 14 82,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Binzm%C3%BChlestrasse%2080,%208050,Z%C3%BCrich,%20Switzerland"
36, Winterthurerstr. 524,8051 Zürich,058 999 05 49,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Winterthurerstr.%20524,%208051,Z%C3%BCrich,%20Switzerland"
37, Witikonerstrasse 299,8053 Zürich,058 999 06 71,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Witikonerstrasse%20299,%208053,Z%C3%BCrich,%20Switzerland"
38, In Böden 174,8046 Zürich,058 999 03 10,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=In%20B%C3%B6den%20174,%208046,Z%C3%BCrich,%20Switzerland"
39, Schaffhauserstr. 491,8052 Zürich,058 999 05 97,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Schaffhauserstr.%20491,%208052,Z%C3%BCrich,%20Switzerland"
40, Zürcherstrasse 110,8903 Birmensdorf ZH,058 999 06 06,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Z%C3%BCrcherstrasse%20110,%208903,Birmensdorf%20ZH,%20Switzerland"
41, Dübendorfstrasse 271,8051 Zürich,058 999 14 63,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=D%C3%BCbendorfstrasse%20271,%208051,Z%C3%BCrich,%20Switzerland"
42, Thurgauerstrasse 106,8152 Glattbrugg,058 999 13 50,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Thurgauerstrasse%20106,%208152,Glattbrugg,%20Switzerland"
43, Ladengasse 1,8102 Oberengstringen,058 999 06 13,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Ladengasse%201,%208102,Oberengstringen,%20Switzerland"
44, Soodstrasse 52,8134 Adliswil,058 999 14 56,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 18:00,Closed,"https://maps.google.com/maps?saddr&daddr=Soodstrasse%2052,%208134,Adliswil,%20Switzerland"
45, Glattalstrasse 76,8052 Zürich,058 999 14 10,Denner Express,"Bargeldbezug mit Post- / M-Card, Humidor",07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Glattalstrasse%2076,%208052,Z%C3%BCrich,%20Switzerland"
46, Uitikonerstrasse 9,8952 Schlieren,058 999 03 15,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 18:00,Closed,"https://maps.google.com/maps?saddr&daddr=Uitikonerstrasse%209,%208952,Schlieren,%20Switzerland"
47, Güterstrasse 4-6,8952 Schlieren,058 999 14 15,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,07:00 - 22:00,"https://maps.google.com/maps?saddr&daddr=G%C3%BCterstrasse%204-6,%208952,Schlieren,%20Switzerland"
48, Neue Winterthurerstrasse 99,8304 Wallisellen,058 999 06 66,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Neue%20Winterthurerstrasse%2099,%208304,Wallisellen,%20Switzerland"
49, Hochweidstrasse 3,8802 Kilchberg ZH,058 999 14 21,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card, Post Servicepoint",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Hochweidstrasse%203,%208802,Kilchberg%20ZH,%20Switzerland"
50, Tiefackerstrasse 20,8134 Adliswil,058 999 13 72,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Tiefackerstrasse%2020,%208134,Adliswil,%20Switzerland"
51, Bahnhofstrasse 9,8304 Wallisellen,058 999 06 58,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Bahnhofstrasse%209,%208304,Wallisellen,%20Switzerland"
52, Bahnhofplatz 8a,8152 Glattbrugg,058 999 14 41,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card",07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Bahnhofplatz%208a,%208152,Glattbrugg,%20Switzerland"
53, Freiestrasse 52,8952 Schlieren,058 999 04 11,Denner Express,Bargeldbezug mit Post- / M-Card,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 18:00,Closed,"https://maps.google.com/maps?saddr&daddr=Freiestrasse%2052,%208952,Schlieren,%20Switzerland"
54, Florastrasse 10,8134 Adliswil,058 999 06 56,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,08:00 - 18:00,"https://maps.google.com/maps?saddr&daddr=Florastrasse%2010,%208134,Adliswil,%20Switzerland"
55, Wallisellerstrasse 114/116,8152 Opfikon,058 999 65 02,Denner Partner,"Humidor, Bargeldbezug mit Post- / M-Card, Poststelle",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Wallisellerstrasse%20114/116,%208152,Opfikon,%20Switzerland"
